Coq au vin,1,15,A classic French dish of braised chicken in red wine sauce.
Boeuf bourguignon,1,20,Another classic French dish of beef stew in red wine sauce.
Soupe à l'oignon gratinée,1,10,A French onion soup topped with Gruyère cheese and baked until golden brown.
Tagine de kefta,2,15,A Moroccan dish of spiced meatballs in a slow-cooked tomato sauce.
Couscous royal,2,20,A traditional Moroccan dish of couscous with lamb vegetables and raisins.
Bisteeya,2,20,A flaky pastry filled with minced meat almonds and spices.
Beignets,3,10,French doughnuts served with powdered sugar.
Crêpes Suzette,3,15,Thin pancakes flambéed with orange liqueur and Grand Marnier.
Profiteroles,3,20,Creamy choux pastry filled with ice cream and topped with chocolate sauce.
Bacalhau à Brás,4,20,Portuguese cod dish with potatoes onions and eggs
Arroz de Pato,4,18,Portuguese rice dish with duck sausage and vegetables
Costeleta de Porco à Alentejana,4,25,Portuguese pork chop dish with clams garlic and parsley
Moqueca Capixaba,5,22,Brazilian fish stew with coconut milk tomatoes and onions
Feijoada Completa,5,20,Brazilian black bean stew with rice sausage and pork
Vatapá,5,18,Brazilian seafood stew with bread coconut milk and peanuts
Porterhouse Steak,6,50,Grilled New York strip steak
Filet Mignon,6,40,Grilled beef tenderloin
Ribeye Steak,6,35,Grilled rib steak
Lobster Bisque,7,15,Creamy lobster soup
Caesar Salad,7,10,Classic Caesar salad with romaine lettuce croutons and Parmesan cheese
Filet Mignon with Lobster Mashed Potatoes,7,50,Grilled beef tenderloin with lobster mashed potatoes
Lobster Risotto,8,25,Risotto with lobster saffron and white wine
Veal Scaloppine,8,30,Seared veal scallops with lemon butter sauce
Filet Mignon with Truffle Butter,8,40,Grilled beef tenderloin with truffle butter
Pan-Seared Scallops,9,35,Pan-seared sea scallops with lemon butter sauce
Seared Ahi Tuna,9,28,Seared ahi tuna with soy glaze and wasabi
Grilled Salmon,9,25,Grilled salmon with lemon and dill
Seafood Tower,10,50,Assortment of fresh seafood including shrimp lobster crab and oysters
Cioppino,10,30,Seafood stew with tomatoes garlic and herbs
Fish and Chips,10,15,Fried fish and french fries
Wiener Schnitzel,11,15,Thinly pounded veal cutlet coated in breadcrumbs and deep-fried.
Schweinsbraten,11,20,Roasted pork shoulder served with sauerkraut and dumplings.
Knödel,11,10,Dumplings made from bread potatoes or flour.
Beef Brisket,12,25,Slow-cooked beef brisket served with mashed potatoes and gravy.
Smoked Turkey Legs,12,15,Smoked turkey legs served with your choice of sides.
Macaroni & Cheese,12,12,Macaroni and cheese with a creamy cheddar cheese sauce.
Wiener Schnitzel,13,15,Thinly pounded veal cutlet coated in breadcrumbs and deep-fried.
Käsespätzle,13,12,Spätzle with melted cheese and onions.
Apfelstrudel,13,10,Apple strudel with vanilla sauce.
Beef Goulash,14,20,Beef stew with paprika onions and tomatoes.
Wiener Schnitzel,14,15,Thinly pounded veal cutlet coated in breadcrumbs and deep-fried.
Nockerln,14,10,Austrian dessert dumplings made with flour eggs and sugar.
Chicken Caesar Salad,15,15,Romaine lettuce croutons Parmesan cheese and grilled chicken breast tossed in a Caesar dressing.
Filet Mignon,15,30,6-ounce grilled filet mignon served with your choice of sides.
New York Strip Steak,15,25,8-ounce grilled New York strip steak served with your choice of sides.
Plov,16,15,Uzbek rice pilaf with meat vegetables and spices.
Lagman,16,12,Noodle soup with meat vegetables and spices.
Manty,16,10,Steamed dumplings filled with meat and onions.
Meze Platter,17,20,Selection of small plates such as hummus baba ganoush falafel and phyllo pastries.
Grilled Lamb Chops,17,25,Grilled lamb chops served with rice and vegetables.
Chicken Shawarma,17,15,Chicken shawarma served in a pita with hummus tahini and vegetables.
Beef Stroganoff,18,25,Seared beef tenderloin in a creamy stroganoff sauce with mushrooms onions and sour cream.
Osetra Caviar,18,150,Imperial Osetra caviar from the Caspian Sea served on blini with sour cream and chopped egg.
Caviar Pizza,18,20,Pizza topped with caviar cream cheese and dill.
Chicken Manchurian,19,15,Chicken in a sweet and sour sauce with vegetables.
Hakka Noodles,19,10,Noodles in a spicy sauce with vegetables and chicken.
Fried Rice,19,12,Fried rice with vegetables and chicken.
Chicken Biryani,20,18,Chicken cooked in a rice dish with spices.
Mutton Biryani,20,20,Mutton cooked in a rice dish with spices.
Vegetable Biryani,20,15,Vegetables cooked in a rice dish with spices.
Falafel,21,10,Deep-fried balls made of chickpeas herbs and spices.
Hummus,21,8,Chickpeas blended with tahini lemon juice and garlic.
Shawarma,21,12,Grilled meat served in a pita with vegetables and tahini sauce.
Barbacoa Tacos,22,10,Tacos filled with shredded beef barbacoa onions cilantro and salsa.
Al pastor Tacos,22,10,Tacos filled with pork al pastor onions cilantro and salsa.
Asada Tacos,22,10,Tacos filled with grilled steak onions cilantro and salsa.
Vinho Verde,23,12,A light refreshing Portuguese wine.
Port Wine,23,20,A sweet fortified Portuguese wine.
Ginjinha,23,5,A Portuguese liqueur made from sour cherries.
Feijoada,24,15,A Brazilian stew made with black beans sausage and pork.
Moqueca,24,20,A Brazilian fish stew made with coconut milk tomatoes and onions.
Arroz Carreteiro,24,12,A Brazilian rice dish made with beef bacon and onions.
Tiramisu,25,10,An Italian dessert made with coffee-soaked ladyfingers mascarpone cheese and chocolate.
Cannoli,25,8,An Italian pastry filled with ricotta cheese chocolate chips and candied fruit.
Gelato,25,6,An Italian ice cream made with fresh fruit and milk.
Vatapa,26,25,Creamy shrimp and crab stew with bread peanuts and coconut milk
Pica Pau,26,20,Shrimp and pork skewers served with farofa (toasted manioc flour) and vinaigrette
Carne de Sol,26,25,Dried salted beef that is shredded and served with a variety of accompaniments
Moqueca de Camarão,27,30,Spicy shrimp stew served with rice and farofa
Cuscuz Marroquino,27,25,Moroccan couscous with chickpeas raisins and almonds
Carne de Panela,27,20,Stewed beef with tomatoes onions and garlic
Sarapatel,28,25,Tripe stew with tomatoes onions and peppers
Bife à Cavalo,28,20,Steak with fried eggs and onions
Feijoada,28,25,Black bean stew with sausage bacon and beef
Picanha,29,30,Grilled sirloin tip
Filé Mignon,29,25,Grilled tenderloin steak
Costela,29,20,Barbecued ribs
Galeto Assado,30,25,Roasted chicken
Frango à Passarinho,30,20,Fried chicken
Linguiça Calabresa,30,15,Spicy sausage
Peixe Assado,31,25,Grilled fish
Arroz de Marisco,31,20,Seafood rice
Moqueca de Peixe,31,30,Fish stew with coconut milk and vegetables
Porco Preto,32,30,Slow-roasted pork shoulder
Costela Suína,32,25,Barbecued pork ribs
Picanha Suína,32,20,Grilled pork sirloin tip
Pudim de Leite,33,15,Brazilian caramel custard
Brigadeiro,33,10,Brazilian chocolate truffle
Torta de Chocolate,33,15,Brazilian chocolate cake
Picadão,34,15,A traditional Amazonian dish made with shredded beef bacon sausage and vegetables.
Manaus Fish Soup,34,12,A hearty soup made with fish shrimp and vegetables.
Manaus Cheese Bread,34,5,A delicious cheesy bread that is a must-try.
Picanha Steak,35,20,A grilled sirloin steak that is cooked to perfection.
Carne Seca,35,18,A dried beef dish that is slow-cooked until it is tender and flavorful.
Maniçoba,35,15,A traditional Amazonian dish made with black beans pork and vegetables.
Couve à Mineira,36,10,A Brazilian dish made with collard greens bacon sausage and onions.
Feijoada,36,15,A traditional Brazilian dish made with black beans pork and sausage.
Moqueca,36,20,A seafood stew made with coconut milk shrimp fish and vegetables.
Empada de Frango,37,8,A chicken empanada that is filled with chicken cheese and vegetables.
Empada de Queijo,37,7,A cheese empanada that is filled with cheese and vegetables.
Empada de Carne,37,9,A beef empanada that is filled with beef cheese and vegetables.
Brigadeiro,38,5,A Brazilian chocolate truffle that is made with condensed milk chocolate and butter.
Pão de Queijo,38,3,A Brazilian cheese bread that is made with cheese flour and eggs.
Cocada,38,4,A Brazilian coconut candy that is made with coconut milk sugar and eggs.
Bacalhau à Gomes de Sá,39,25,A Portuguese codfish dish that is made with codfish potatoes onions and olives.
Alheira de Mirandela,39,18,A Portuguese sausage that is made with bread chicken and pork.
Francesinha,39,20,A Portuguese sandwich that is made with ham sausage steak cheese and a beer sauce.
Bife de Chorizo,40,30,A tender beef steak with chimichurri sauce.
Alheira,40,20,A traditional Portuguese sausage made from bread chicken and pork.
Fondue Bourguignonne,40,40,A fondue made with beef pork and chicken.
Espeto de Frango,41,15,A grilled chicken skewer served with rice and beans.
Carne de Sol,41,25,A dried salted beef that is typically served with a variety of side dishes.
Moqueca de Peixe,41,30,A fish stew made with coconut milk tomatoes and onions.
Pizza Margherita,42,20,A classic pizza made with tomato sauce mozzarella cheese and fresh basil.
Pizza Quatro Queijos,42,25,A pizza made with four cheeses: mozzarella provolone parmesan and pecorino romano.
Pizza Funghi,42,30,A pizza made with mushrooms mozzarella cheese and a white sauce.
Arroz de Marisco,43,30,A rice dish made with seafood vegetables and spices.
Bobó de Camarão,43,25,A creamy shrimp stew made with coconut milk yams and vegetables.
Vatapa,43,20,A creamy shrimp stew made with peanuts coconut milk and yams.
Caranguejo à Moda da Ilha,44,35,A crab dish made with coconut milk tomatoes and onions.
Caranguejo à Goiana,44,30,A crab dish made with a spicy sauce made with tomatoes onions and peppers.
Caranguejo no Espeto,44,25,A grilled crab skewer served with rice and beans.
Picadão,45,20,A ground beef stew made with tomatoes onions and spices.
Bife à Cavalo,45,25,A beef steak served with fried eggs and onions.
Filé Mignon à Parmegiana,45,30,A beef steak topped with mozzarella cheese and tomato sauce.
Tarator,46,15,A yogurt-based soup made with cucumbers garlic and dill.
Shopska Salada,46,10,A salad made with tomatoes cucumbers onions and peppers.
Kebapche,46,20,A grilled minced meat kebab served with pita bread and vegetables.
Sushi,47,10,A Japanese dish made with vinegared rice and raw fish or vegetables.
Sashimi,47,15,A Japanese dish made with thinly sliced raw fish.
Tempura,47,20,A Japanese dish made with battered and deep-fried seafood or vegetables.
Chicken Parmesan,48,15,A breaded chicken cutlet topped with tomato sauce and mozzarella cheese.
Spaghetti and Meatballs,48,12,Spaghetti noodles with meatballs in a tomato sauce.
Lasagna,48,18,Layers of lasagna noodles meat sauce and ricotta cheese.
Nkwobi,49,15,Beef shank palm oil and egusi soup.
Egusi soup,49,10,Egusi soup spinach and goat meat.
Fufu,49,5,Fufu egusi soup and goat meat.
Ndolé,50,15,Spinach ndolé leaves and beef.
Fonio,50,5,Fonio ndolé and beef.
Salade de plantain,50,10,Plantain salad tomatoes and onions.
Saucisse,51,10,Sausage fries and mayonnaise.
Frites,51,5,Fries mayonnaise and ketchup.
Sauce piquante,51,2,Hot sauce.
Crepes,52,10,Crepes Nutella and bananas.
Gaufre,52,8,Waffles powdered sugar and maple syrup.
Cafe au lait,52,5,Coffee with steamed milk.
Foie gras,53,30,Foie gras brioche and black truffles.
Jambon persillé,53,20,Ham parsley and truffles.
Tarte Tatin,53,15,Apple tart caramel sauce and vanilla ice cream.
Croque monsieur,54,10,Ham and cheese sandwich béchamel sauce and Gruyère cheese.
Salade niçoise,54,15,Niçoise salad tuna olives and hard-boiled eggs.
Soupe à l'oignon,54,10,French onion soup Gruyère cheese and croutons.
Ribs,55,30,Baby back ribs BBQ sauce and coleslaw.
Filet mignon,55,40,Filet mignon mashed potatoes and asparagus.
New York strip,55,35,New York strip mashed potatoes and asparagus.
Crispy Shrimp Tacos,56,14,Crispy shrimp tacos with cabbage cilantro and lime
Crab Cakes,56,18,Crab cakes with remoulade sauce
Shrimp Scampi,56,22,Shrimp scampi with linguine and white wine sauce
Chicken Parmesan,57,16,Chicken parmesan with spaghetti and marinara sauce
Pasta Carbonara,57,18,Pasta carbonara with bacon eggs and Parmesan cheese
Lasagna,57,20,Lasagna with meat sauce and ricotta cheese
Filet Mignon,58,32,Filet mignon with roasted potatoes and asparagus
New York Strip,58,28,New York strip with mashed potatoes and grilled vegetables
Ribeye,58,30,Ribeye with baked potato and broccoli
Baby Back Ribs,59,24,Baby back ribs with BBQ sauce and coleslaw
Sirloin Steak,59,22,Sirloin steak with mashed potatoes and asparagus
Chicken Fajitas,59,20,Chicken fajitas with rice and beans
Chicken Caesar Salad,60,18,Chicken Caesar salad with croutons and Parmesan cheese
Fish and Chips,60,16,Fish and chips with tartar sauce and coleslaw
Mac and Cheese,60,14,Mac and cheese with bread crumbs and cheddar cheese
Peking Duck,61,28,Peking duck with pancakes hoisin sauce and spring onions
Roast Pork,61,26,Roast pork with plum sauce and pickled vegetables
Stir-Fried Shrimp,61,24,Stir-fried shrimp with vegetables and rice
Beijing Beef,62,22,Beijing beef with broccoli and carrots
Kung Pao Chicken,62,20,Kung Pao chicken with peanuts and vegetables
Sesame Chicken,62,18,Sesame chicken with rice or noodles
Stir-Fried Tofu,63,16,Stir-fried tofu with vegetables and rice
Mapo Tofu,63,18,Mapo tofu with ground beef and vegetables
Wonton Soup,63,14,Wonton soup with shrimp pork and vegetables
Peking Duck,64,40,A crispy juicy duck served with pancakes spring onions and hoisin sauce.
