Christ the Redeemer,8,A giant statue of Jesus Christ on top of Mount Corcovado overlooking the city of Rio de Janeiro.
Sugarloaf Mountain,8,A mountain with two peaks offering panoramic views of the city of Rio de Janeiro.
Copacabana Beach,8,One of the most famous beaches in the world located in the Copacabana neighborhood of Rio de Janeiro.
Ipanema Beach,8,Another world-famous beach located in the Ipanema neighborhood of Rio de Janeiro.
The Maracanã Stadium,8,The largest stadium in Brazil and one of the largest in the world. It hosted the 2014 FIFA World Cup Final.
The Metropolitan Cathedral of São Sebastião,9,A modern cathedral with a striking glass facade.
The São Paulo Museum of Art,9,A museum with a large collection of European art as well as art from Brazil and other parts of the world.
The Ibirapuera Park,9,A large park with a variety of attractions including museums a planetarium and a Japanese garden.
The Paulista Avenue,9,A major avenue that is home to many businesses shops and restaurants.
The Mercado Municipal de São Paulo,9,A large market with a variety of fresh produce meats and cheeses.
The Serra do Cipó National Park,10,A national park with a variety of hiking trails waterfalls and caves.
The Pampulha Modern Ensemble,10,A group of modernist buildings designed by Oscar Niemeyer.
The Inhotim Botanical Garden,10,A botanical garden with a large collection of art and sculptures.
The Praça da Liberdade,10,A large square in the city center with a variety of historical buildings.
The Palácio da Alvorada,11,The official presidential palace of Brazil.
The Catedral de Brasília,11,A modern cathedral with a striking concrete facade.
The Palácio do Planalto,11,The seat of the Brazilian government.
The National Congress of Brazil,11,The legislative branch of the Brazilian government.
The Teatro Nacional Cláudio Santoro,11,A national theater with a variety of performances including opera ballet and theater.
The Encontro das Águas,12,A natural wonder where the Rio Negro and Solimões rivers meet.
The Amazon Rainforest,12,The largest rainforest in the world with a variety of wildlife including monkeys snakes and jaguars.
The Teatro Amazonas,12,A beautiful opera house built in the late 19th century.
The Mercado Adolpho Lisboa,12,A market with a variety of fresh produce meats and cheeses.
The Museu da Amazônia,12,A museum with exhibits on the Amazon rainforest.
The Boa Viagem Beach,13,One of the most popular beaches in Recife with white sand and clear water.
The Recife Antigo,13,The historic center of Recife with a variety of colonial buildings.
The Marco Zero,13,The zero point of all distances in Brazil.
The Forte do Brum,13,A 17th-century fort that offers panoramic views of the city.
The Museu do Homem do Nordeste,13,A museum with exhibits on the culture and history of the Northeast region of Brazil.
The Porto Alegre Zoo,14,A zoo with over 1500 animals from all over the world.
The Redenção Park,14,A large park with a variety of attractions including a lake a zoo and a planetarium.
The Mercado Público de Porto Alegre,14,A market with a variety of fresh produce meats and cheeses.
The Theatro São Pedro,14,An opera house built in the late 19th century.
The Fundação Iberê Camargo,14,A museum with exhibits on the work of Brazilian artist Iberê Camargo.
The Pelourinho,15,The historic center of Salvador with a variety of colonial buildings.
The Elevador Lacerda,15,A funicular that connects the upper and lower parts of the city.
The Mercado Modelo,15,A market with a variety of souvenirs handicrafts and food.
The Igreja do Bonfim,15,A church that is known for its black madonna.
The Pelourinho Museum,15,A museum with exhibits on the history of the Pelourinho.
Casbah of Algiers,1,A UNESCO World Heritage Site the Casbah of Algiers is a maze of narrow streets whitewashed houses and mosques.
Baie de l'Argent,1,A beautiful bay with clear turquoise water and white sand beaches.
Jugurtha Museum,1,A museum dedicated to the history of Algeria.
Luanda Tower,2,A 240-meter-tall tower with panoramic views of Luanda.
Kikombo Beach,2,A popular beach with clear water and white sand.
M'Banza Kongo,2,A UNESCO World Heritage Site M'Banza Kongo was the capital of the Kongo Kingdom.
Sydney Opera House,3,One of the most iconic buildings in the world the Sydney Opera House is a must-see for any visitor to Sydney.
Sydney Harbour Bridge,3,A world-famous landmark the Sydney Harbour Bridge is a must-climb for any visitor to Sydney.
Bondi Beach,3,One of the most popular beaches in the world Bondi Beach is a must-visit for any visitor to Sydney.
South Bank Parklands,4,A 75-hectare riverside parkland with gardens playgrounds a man-made beach a cable car and a variety of restaurants and bars.
Mount Coot-tha Botanic Gardens,4,A 180-hectare botanical garden with stunning views of the city.
Story Bridge,4,A 440-meter-long pedestrian and cyclist bridge that spans the Brisbane River.
Queen Street Mall,4,A pedestrian mall with over 700 shops restaurants and cafes.
Brisbane Powerhouse,4,A former power station that has been converted into a museum and arts center.
Kunsthistorisches Museum,5,One of the world's largest art museums with a collection of over 8000 paintings sculptures and other works of art.
Hofburg Palace,5,The former imperial palace of the Habsburgs now a museum and government complex.
St. Stephen's Cathedral,5,A 12th-century cathedral with a 137-meter-tall spire.
Prater amusement park,5,An amusement park with over 250 rides and attractions.
Flame Towers,6,A trio of skyscrapers that are the tallest buildings in Baku.
Icheri Sheher,6,The Old City of Baku a UNESCO World Heritage Site.
Gulustan Palace,6,A 17th-century palace that was once the summer residence of the khans of Azerbaijan.
Heydar Aliyev Center,6,A modern cultural center designed by Zaha Hadid.
Lalbagh Fort,7,A 17th-century fort that is now a museum.
Shaheed Minar,7,A 60-meter-tall minaret that was built to commemorate the victims of the Bangladesh Liberation War.
National Museum of Bangladesh,7,A museum with a collection of artifacts from Bangladesh's history and culture.
Dhaka Zoo,7,A zoo with over 2000 animals.
Alexander Nevsky Cathedral,16,A large Eastern Orthodox cathedral in the heart of Sofia Bulgaria.
Boyana Church,16,A 10th-century church with UNESCO World Heritage status located just outside Sofia.
Vitosha Mountain,16,A mountain range that rises to over 2200 meters above sea level just south of Sofia.
The National Museum of History,16,A museum that houses a collection of artifacts from Bulgaria's history dating back to the Stone Age.
The National Palace of Culture,16,A large cultural center that hosts concerts exhibitions and other events.
Mount Cameroon,17,The highest mountain in West Africa located in the Cameroon Highlands.
The Limbe Wildlife Centre,17,A wildlife conservation center that is home to a variety of animals including gorillas chimpanzees and monkeys.
The Bafut Palace,17,A traditional palace that is home to the Fon (chief) of the Bafut people.
The Nkondjock Waterfalls,17,A series of waterfalls located in the Nkondjock region of Cameroon.
The Campo Ma'an National Park,17,A national park that is home to a variety of animals including elephants lions and leopards.
Mount Royal,18,A large hill that overlooks Montreal.
The Notre-Dame Basilica,18,A Roman Catholic basilica that is one of the most popular tourist attractions in Montreal.
The Old Port of Montreal,18,A historic port that is now a popular tourist destination.
The Montreal Biodome,18,A museum that recreates four different ecosystems including a tropical rainforest a tundra and a desert.
The Montreal Museum of Fine Arts,18,An art museum that houses a collection of over 42000 works of art.
The Calgary Tower,19,A 604-meter-tall tower that offers panoramic views of the city.
The Glenbow Museum,19,A museum that houses a collection of artifacts from Western Canada's history.
The Royal Tyrrell Museum of Palaeontology,19,A museum that houses a collection of dinosaur fossils.
The Banff National Park,19,A national park that is home to a variety of wildlife including bears elk and wolves.
The Jasper National Park,19,A national park that is home to a variety of wildlife including bears elk and wolves.
The CN Tower,20,A 553.33-meter-tall communications and observation tower in downtown Toronto.
The Royal Ontario Museum,20,A museum that houses a collection of over 13 million objects including dinosaur fossils mummies and Chinese artifacts.
The Hockey Hall of Fame,20,A museum that is dedicated to the sport of hockey.
The Casa Loma,20,A Gothic Revival castle that was built in the early 20th century.
The Toronto Islands,20,A group of islands located in Lake Ontario that are home to a variety of parks beaches and restaurants.
The Bund,21,A waterfront area in central Shanghai that is home to a variety of historical buildings including the Oriental Pearl Tower.
The Yu Garden,21,A traditional Chinese garden that is one of the most popular tourist attractions in Shanghai.
The Shanghai Museum,21,A museum that houses a collection of over 120000 artifacts including Chinese ceramics bronzes and jade.
The Jin Mao Tower,21,A 421-meter-tall skyscraper that is the second tallest building in Shanghai.
The Oriental Pearl Tower,21,A 468-meter-tall TV tower that is one of the most iconic landmarks in Shanghai.
The Forbidden City,22,A former imperial palace that is now a museum.
The Temple of Heaven,22,A UNESCO World Heritage Site that was built in the 15th century as an altar for the worship of heaven.
The Great Wall of China,22,A series of fortifications that were built over centuries to protect China from invaders.
The Terracotta Army,22,A collection of over 8000 life-size terracotta soldiers that were buried with the first emperor of China.
The Summer Palace,22,A former imperial garden that is now a popular tourist destination.
