Musée national des beaux-arts d'Alger,1,Art,The National Museum of Fine Arts of Algiers is a museum in Algiers Algeria. It was founded in 1835 by the French colonial administration and houses a collection of over 12000 works of art including paintings sculptures and drawings from Europe
Musée national d'archéologie d'Alger,1,History,The National Museum of Archaeology of Algiers is a museum in Algiers Algeria. It was founded in 1866 by the French colonial administration and houses a collection of over 100000 artifacts from the prehistory protohistory and ancient history of Algeria.
Musée national des antiquités et des arts islamiques,1,History,The National Museum of Antiquities and Islamic Arts is a museum in Algiers Algeria. It was founded in 1962 and houses a collection of over 100000 artifacts from the pre-Islamic and Islamic periods of Algeria.
Musée national du Bardo,1,Art,The Bardo Museum is a museum in Algiers Algeria. It was founded in 1882 and houses a collection of over 60000 Roman mosaics as well as other artifacts from the Roman Byzantine and Islamic periods of Algeria.
Musée national des arts et traditions populaires,1,Culture,The National Museum of Popular Arts and Traditions is a museum in Algiers Algeria. It was founded in 1930 and houses a collection of over 100000 artifacts from the traditional cultures of Algeria.
Museu Nacional de História Natural de Angola,2,History,The National Museum of Natural History of Angola is a museum in Luanda
Art Gallery of New South Wales,3,Art,A museum that houses a collection of over 166
Powerhouse Museum,3,Science,A museum that houses a variety of exhibits on science
Australian Museum,3,History,A museum that houses a collection of over 17 million objects
Sydney Jewish Museum,3,History,A museum that tells the story of the Jewish community in Australia.
Museum of Contemporary Art Australia,3,Art,A museum that hosts exhibitions of contemporary art from Australia and around the world.
Queensland Museum,4,Art,The Queensland Museum is a natural history and heritage museum in Brisbane Queensland Australia. It is the state's largest museum and one of the most popular tourist attractions in Brisbane.
Museum of Ethnology,5,Culture, A museum dedicated to the history of warfare and conflict
National Museum of the Republic of Azerbaijan,6,History,The National Museum of the Republic of Azerbaijan is the largest museum in Azerbaijan. It was founded in 1920 and is located in Baku the capital of Azerbaijan. The museum has a collection of over 300000 objects including archaeological artifacts ethnographic objects and works of art.
National Museum of Bangladesh,7,History,The National Museum of Bangladesh is the largest museum in Bangladesh. It was founded in 1913 and is located in Dhaka the capital of Bangladesh. The museum has a collection of over 100000 objects including archaeological artifacts ethnographic objects and works of art.
Museu de Arte do Rio,8,Art,A contemporary art museum with a focus on Brazilian art.
Museu Histórico Nacional,8,History,A museum dedicated to the history of Brazil.
Museu de Arte Sacra,8,Art,A museum of religious art.
Museu Casa do Pontual,8,Historic House,A museum in a historic house that houses a collection of Brazilian art.
Museu do Indio,8,Ethnic,A museum dedicated to the indigenous peoples of Brazil.
Museu de Ciências e Tecnologia da PUC-Rio,8,Science,A science museum with interactive exhibits.
Museu Militar Conde de Linhares,8,Military,A military museum.
Museu do Amanhã,8,Multiple,A museum of science and technology with a focus on the future.
Museu de Arte Moderna do Rio de Janeiro,8,Art,A modern art museum.
Museu de Arte Popular,8,Art,A museum of popular art.
Museu de Astronomia e Ciências Afins,8,Science,An astronomy museum with a planetarium.
Museu do Futebol,8,Sports,A museum dedicated to the history of football (soccer).
Museu do Design e da Moda,8,Art,A museum of design and fashion.
Museu de Cera Madame Tussauds,8,Wax,A wax museum.
Museu Nacional de Fogo,8,Firefighting,A firefighting museum.
Museu do Aterro do Flamengo,8,Amusement,An amusement park.
Museu de Arte de São Paulo (MASP),9,Art,A museum of modern and contemporary art with a collection of over 8
Museu do Ipiranga,9,History,A museum dedicated to the history of Brazil
Museu de Arte Sacra de São Paulo,9,History,A museum of religious art
Museu de Arte Contemporânea de São Paulo (MAC-USP),9,Art,A museum of contemporary art
Museu Afro Brasil,9,Ethnic,A museum of African art and culture
Museu de Zoologia da Universidade de São Paulo,9,Science,A museum of zoology
Museu de Aeronáutica e Astronáutica,9,Military,A museum of aviation and astronautics
