Hamma Garden,1,Urban Park,A large public park in the heart of Algiers with gardens fountains and a zoo.
Bologhine Park,1,Urban Park,A beautiful park with a lake gardens and a playground.
Beni Messous National Park,1,National park,A large national park with forests mountains and lakes.
Parque da Cidade,2,Urban Park,A large urban park with gardens a lake and a playground.
Parque do Kinaxixi,2,Urban Park,A beautiful park with gardens a lake and a zoo.
Parque de Kifangondo,2,National park,A large national park with forests mountains and beaches.
Royal Botanic Garden,3,Botanical garden,A beautiful botanical garden with a wide variety of plants from all over the world.
Taronga Zoo,3,Zoo,A large zoo with over 4000 animals from all over the world.
Bondi Beach,3,Beach,A popular beach with white sand and clear water.
Brisbane Botanic Gardens,4,Botanical garden,A beautiful botanical garden with a wide variety of plants from all over the world.
Lone Pine Koala Sanctuary,4,Sanctuary,A sanctuary that cares for koalas and other Australian animals.
Mount Coot-tha Lookout,4,Viewpoint,A popular viewpoint with stunning views of the city.
Prater,5,Urban Park,The Prater is one of the largest amusement parks in the world and is located in the Prater district of Vienna.
Stadtpark,5,Urban Park,The Stadtpark is an urban park in the Innere Stadt district of Vienna. It is one of the most popular parks in the city and is home to a variety of attractions including a rose garden a Japanese garden and a playground.
Schönbrunn Palace Park,5,Palace park,The Schönbrunn Palace Park is a large park located in the Schönbrunn district of Vienna. It is home to the Schönbrunn Palace which is one of the most popular tourist destinations in Austria.
Baku Boulevard,6,Boulevard,The Baku Boulevard is a waterfront promenade located in the Baku City Circuit of Baku Azerbaijan. It is one of the most popular tourist destinations in the city and offers stunning views of the Caspian Sea.
Nargiz Park,6,Urban Park,The Nargiz Park is an urban park located in the Narimanov Rayon of Baku Azerbaijan. It is one of the most popular parks in the city and is home to a variety of attractions including a rose garden a playground and a water park.
Fəvvarələr meydanı,6,Square,The Fəvvarələr meydanı is a fountain square located in the Icheri Sheher of Baku Azerbaijan. It is one of the most popular tourist destinations in the city and is home to a number of historical and cultural monuments.
Ramna Park,7,Urban Park,The Ramna Park is an urban park located in the Ramna Thana of Dhaka Bangladesh. It is one of the largest parks in the city and is home to a variety of attractions including a zoo a botanical garden and a playground.
Ziauddin Ahmed Park,7,Urban Park,The Ziauddin Ahmed Park is an urban park located in the Dhanmondi Thana of Dhaka Bangladesh. It is one of the most popular parks in the city and is home to a variety of attractions including a lake a playground and a mosque.
Parque Lage,8,Urban Park,A public park located in the Jardim Botânico neighborhood of Rio de Janeiro Brazil. It is known for its lush vegetation beautiful gardens and stunning views of the city.
Copacabana Beach,8,Beach,One of the most famous beaches in the world Copacabana Beach is a must-see for any visitor to Rio de Janeiro. It is known for its soft sand clear water and lively atmosphere.
Sugarloaf Mountain,8,Mountain Park,Sugarloaf Mountain is a iconic landmark in Rio de Janeiro. It is a popular tourist destination offering stunning views of the city and the surrounding mountains.
Parque Ibirapuera,9,Urban Park,Parque Ibirapuera is a large urban park located in the South Zone of São Paulo Brazil. It is one of the most popular parks in the city and is known for its beautiful gardens museums and cultural attractions.
Parque Villa-Lobos,9,Urban Park,Parque Villa-Lobos is a large urban park located in the West Zone of São Paulo Brazil. It is known for its lush vegetation beautiful gardens and musical performances.
Parque do Ipiranga,9,Urban Park,Parque do Ipiranga is a large urban park located in the East Zone of São Paulo Brazil. It is home to the Museu do Ipiranga which houses a collection of Brazilian art and history.
Parque das Mangabeiras,10,Urban Park,Parque das Mangabeiras is a large urban park located in the North Zone of Belo Horizonte Brazil. It is known for its lush vegetation beautiful gardens and hiking trails.
Parque Municipal Américo Renné Giannetti,10,Urban Park,Parque Municipal Américo Renné Giannetti is a large urban park located in the downtown area of Belo Horizonte Brazil. It is known for its beautiful gardens fountains and sculptures.
Parque das Mangabeiras,11,Urban Park,Parque das Mangabeiras is a large urban park located in the North Zone of Brasilia Brazil. It is known for its lush vegetation beautiful gardens and hiking trails.
Parque da Cidade Sarah Kubitschek,11,Urban Park,Parque da Cidade Sarah Kubitschek is a large urban park located in the South Zone of Brasilia Brazil. It is known for its lush vegetation beautiful gardens and hiking trails.
Manaus Zoo,12,Zoo,A zoo located in the heart of Manaus Brazil. It is home to over 1200 animals from all over the world.
Parque do Mindu,12,Urban Park,A large urban park located in the heart of Manaus. It is home to a variety of plants and animals as well as a number of recreational facilities.
Parque Encontro das Águas,12,Urban Park,A large urban park located on the banks of the Rio Negro and the Rio Solimões. It is a popular spot for swimming sunbathing and fishing.
Parque Nacional do Jaú,12,National park,A national park located in the Amazon rainforest. It is home to a variety of wildlife including jaguars monkeys and snakes.
Parque Estadual do Sumaúma,12,State park,A state park located in the Amazon rainforest. It is home to a variety of wildlife including sloths toucans and parrots.
Parque da Jaqueira,13,Urban Park,A large urban park located in the heart of Recife. It is home to a variety of plants and animals as well as a number of recreational facilities.
Parque dos Dois Irmãos,13,Urban Park,A large urban park located on the banks of the Rio Capibaribe. It is a popular spot for swimming sunbathing and fishing.
Parque Estadual de Dois Irmãos,13,State park,A state park located in the Atlantic forest. It is home to a variety of wildlife including monkeys sloths and toucans.
Parque Nacional da Serra do Cipó,10,National park,A national park located in the Serra do Cipó mountains. It is home to a variety of wildlife including jaguars monkeys and snakes.
Parque Estadual do Catimbau,13,State park,A state park located in the Caatinga region. It is home to a variety of wildlife including armadillos anteaters and snakes.
Parque Farroupilha,14,Urban Park,A large urban park located in the heart of Porto Alegre. It is home to a variety of plants and animals as well as a number of recreational facilities.
Parque da Redenção,14,Urban Park,A large urban park located in the heart of Porto Alegre. It is a popular spot for swimming sunbathing and fishing.
Parque Estadual do Itapuã,14,State park,A state park located on the coast of Porto Alegre. It is home to a variety of wildlife including monkeys sloths and toucans.
Parque Nacional da Lagoa do Peixe,14,National park,A national park located on the coast of Rio Grande do Sul. It is home to a variety of wildlife including penguins sea lions and dolphins.
Parque Nacional da Serra Geral,14,National park,A national park located in the Serra Geral mountains. It is home to a variety of wildlife including jaguars monkeys and snakes.
Parque da Cidade,15,Urban Park,A large urban park located in the heart of Salvador. It is home to a variety of plants and animals as well as a number of recreational facilities.
Parque do Pelourinho,15,Historic Park,A historic park located in the heart of Salvador. It is home to a variety of colonial buildings as well as a number of museums and art galleries.
Parque das Dunas,15,Urban Park,A large urban park located on the coast of Salvador. It is a popular spot for swimming sunbathing and fishing.
Parque Nacional da Chapada Diamantina,15,National park,A national park located in the Chapada Diamantina mountains. It is home to a variety of wildlife including monkeys sloths and toucans.
Bulgarian Garden,16,Botanical Garden,A large botanical garden with a variety of plants from all over the world.
Lyubomir Pipkov Garden,16,Urban Park,A popular park with a playground a lake and a rose garden.
Vitosha Park,16,Mountain Park,A large park with hiking trails a ski resort and a monastery.
La Réserve Bonapriso,17,Urban Park,A large park with a zoo a botanical garden and a lake.
Mfoundi Park,17,Urban Park,A popular park with a playground a lake and a botanical garden.
Mount Cameroon National Park,17,Mountain Park,A large national park with hiking trails waterfalls and a variety of wildlife.
Mount Royal Park,18,Urban Park,A large park with hiking trails a lake and a view of the city.
Jardin Botanique de Montréal,18,Botanical Garden,A large botanical garden with a variety of plants from all over the world.
Parc Jean-Drapeau,18,Island Park,An island park with a amusement park a water park and a marina.
Prince's Island Park,19,Island Park,An island park with a park a playground and a walking path.
Stanley Park,19,Urban Park,A large park with a zoo a botanical garden and a waterfront.
High Park,20,Urban Park,A large park with a zoo a botanical garden and a ravine system.
Toronto Islands Park,20,Island Park,An island park with a park a playground and a walking path.
Yu Garden,21,Garden,A UNESCO World Heritage Site one of the most popular tourist attractions in Shanghai.
People's Square,21,Square,A large public square in the heart of Shanghai.
The Bund,21,Viewpoint,A waterfront promenade with stunning views of the Huangpu River and the Pudong skyline.
Jinshan Forest Park,21,Forest,A large forest park with hiking trails temples and a cable car.
Shanghai Zoo,21,Zoo,A zoo home to over 10000 animals from all over the world.
Beihai Park,22,National Park,A large park in the heart of Beijing with a lake gardens and temples.
Temple of Heaven,22,Temple,A UNESCO World Heritage Site one of the most important religious sites in China.
Summer Palace,22,Palace Park,A former imperial summer palace with gardens lakes and temples.
Olympic Green,22,National Park,A large park built for the 2008 Summer Olympics.
Zhongshan Park,22,National Park,A large park with a lake gardens and a museum.
Tianjin Binhai Forest Park,23,Forest,A large forest park with hiking trails a cable car and a water park.
Jinghai Lake Park,23,National Park,A large park with a lake gardens and a zoo.
Binhai New Area Coastal Park,23,National Park,A new park with a beach a boardwalk and a Ferris wheel.
Tianjin Olympic Green,23,National Park,A large park built for the 2008 Summer Olympics.
Tianjin Children's Palace,23,National Park,A park with a playground a water park and a science museum.
Huadu Park,24,National Park,A large park with a lake gardens and a zoo.
Yuexiu Park,24,National Park,A UNESCO World Heritage Site one of the most popular tourist attractions in Guangzhou.
Liwan Lake Park,24,National Park,A large park with a lake gardens and a temple.
Baiyun Mountain,24,Mountain Park,A mountain with hiking trails temples and a cable car.
Chengdu Giant Panda Research Base,25,Research,A research base where giant pandas are bred and raised in captivity.
Wuhou Temple,25,Temple,A temple dedicated to the Three Kingdoms general Zhuge Liang.
Dujiangyan Irrigation System,25,National Park,A UNESCO World Heritage Site an ancient irrigation system that still provides water to Chengdu today.
Mount Emei,25,Mountain Park,A mountain with hiking trails temples and a cable car.
Bifengxia Panda Base,25,Research,A research base where giant pandas are bred and raised in captivity.
Huanghelou Park,26,Urban Park,A large park in the heart of Wuhan with a variety of gardens lakes and pavilions.
Central Waterfront Park,26,Riverside park,A long park along the Yangtze River with stunning views of the city skyline.
