La Maison Blanche,1,10,Traditional Algerian cuisine in a historic setting.
Dar El Emir,1,15,Upscale Moroccan restaurant with stunning views of the city.
Le Grillon,1,20,Fine-dining French restaurant with a Michelin star.
Adega do Mercado,2,10,Authentic Angolan cuisine in a lively atmosphere.
Fortaleza,2,15,Sushi bar and restaurant with a wide selection of seafood.
The Butcher Shop,2,20,Steakhouse with dry-aged beef and a variety of sides.
The Stargazer,3,10,Modern Australian restaurant with a focus on seafood.
Aria,3,15,Upscale Italian restaurant with a Michelin star.
Quay,3,20,Fine-dining restaurant with stunning views of the Sydney Harbour Bridge.
The Fish House,4,10,Casual seafood restaurant with a relaxed atmosphere.
The Bavarian,4,15,German restaurant with a large selection of beer and schnitzel.
Longtime,4,20,Vietnamese restaurant with a focus on pho and banh mi.
Figlmüller,5,10,Traditional Viennese restaurant with schnitzel and strudel.
Plachutta,5,15,Beef restaurant with a focus on Tafelspitz.
Am Ex,5,20,Modern Austrian restaurant with a Michelin star.
Nargiz,6,10,Azerbaijani restaurant with a focus on kebabs and plov.
Mezes,6,15,Mediterranean restaurant with a variety of small plates.
Caviar House,6,20,Fine-dining restaurant with a focus on caviar and seafood.
Hakka Palace,7,10,Authentic Hakka Chinese cuisine
Rangshala,7,15,Bangladeshi restaurant with a wide variety of dishes
Chickpeas,7,12,Casual Indian restaurant with a focus on vegetarian and vegan options
Barbacoa do Asfalto,8,15,Brazilian steakhouse with a wide variety of meats
Adega do Portuga,8,12,Portuguese restaurant with a focus on seafood
Bar do Mineiro,8,10,Brazilian restaurant with a focus on regional dishes from Minas Gerais
Picchi,9,15,Italian restaurant with a focus on wood-fired pizzas
Mocotó,9,12,Brazilian restaurant with a focus on regional dishes from the Northeast
Maní,9,10,Brazilian restaurant with a focus on seasonal ingredients
Bar do Luiz,10,10, Traditional Brazilian food with a focus on Minas Gerais cuisine.
Madero,10,20, Modern Brazilian steakhouse.
Galeto D'Ouro,10,15, Churrascaria (Brazilian steakhouse).
Lagoa Restaurante,11,20, Fine dining restaurant with a focus on Brazilian cuisine.
Casa do Porco,11,15, Casual restaurant serving pork dishes from all over Brazil.
Carmo 14 Bis,11,10, Traditional Brazilian food with a focus on Minas Gerais cuisine.
Manaus Plaza Hotel Restaurante,12,20, Fine dining restaurant with a focus on Amazonian cuisine.
Amazonas Grill,12,15, Churrascaria (Brazilian steakhouse).
Chez Michou,12,10, French restaurant with a focus on seafood.
Casa da Empada,13,10, Restaurant specializing in empanadas.
Brigadeiro,13,15, Cafeteria serving traditional Brazilian desserts.
Adega do Portuga,13,20, Portuguese restaurant.
Bar do Alemão,14,10, Traditional German restaurant.
Bar O Faraó,14,15, Restaurant serving Brazilian and Middle Eastern cuisine.
Pizzaria Bella Napoli,14,20, Pizzeria.
Dique do Tororó,15,10, Restaurant with a focus on Bahian cuisine.
A Casa do Caranguejo,15,15, Restaurant serving seafood.
Restaurante Trapiche,15,20, Fine dining restaurant with a focus on Bahian cuisine.
Rakovski,16,15,Traditional Bulgarian cuisine in a historic setting.
The Black Sea,16,20,Seafood restaurant with stunning views of the Black Sea.
Moma,16,10,Casual restaurant serving up delicious Bulgarian comfort food.
La Cantine du Cameroun,17,15,Authentic Cameroonian cuisine in a lively atmosphere.
Le Jardin du Cameroun,17,20,Fine-dining Cameroonian restaurant with a focus on fresh ingredients.
Le Snack du Cameroun,17,10,Casual Cameroonian restaurant serving up street food favorites.
La Banquise,18,15,Montreal's iconic poutinerie serving up delicious poutine and other Quebecois classics.
Au Pied du Cochon,18,20,Fine-dining restaurant serving up modern French cuisine.
L'Express,18,10,Casual bistro serving up classic French dishes.
The Keg Steakhouse + Bar,19,20,Steakhouse chain serving up dry-aged steaks seafood and cocktails.
Joey's Seafood & Grill,19,15,Casual restaurant serving up seafood pasta and steaks.
East Side Mario's,19,10,Casual Italian restaurant chain serving up pasta pizza and other Italian favorites.
The Keg Steakhouse + Bar,20,20,Steakhouse chain serving up dry-aged steaks seafood and cocktails.
